"Player","Team","Number","Position","Height","Weight","Last Attended","Country","id"
"PepeSanchez","PHI","6","G","6-4","195 lbs","Temple","Argentina","2143"
"FrankieSanders","BOS","4","F","6-6","200 lbs","Southern","USA","78057"
"JeffSanders","CHI","34","F","6-8","225 lbs","Georgia Southern","USA","1874"
"LarrySanders","MIL","8","C","6-11","235 lbs","Va Commonwealth","USA","202336"
"MelvinSanders","SAS","","G-F","6-5","210 lbs","Oklahoma State","USA","2684"
"MikeSanders","PHX","33","F","6-6","210 lbs","UCLA","USA","78059"
"ThomasSanders","BOS","16","F","6-6","210 lbs","New York University","USA","78060"
"DanielSantiago","MIL","15","C","7-1","256 lbs","St. Vincent","Puerto Rico","2091"
"BobSantini","NYK","5","F","6-5","190 lbs","Iona","USA","78061"
"GuiSantos","GSW","15","G","6-6","185 lbs","","Brazil","1630611"
"WayneSappleton","BKN","44","F","6-9","215 lbs","Loyola-Chicago","USA","78062"
"DarioSaric","PHX","20","F-C","6-10","225 lbs","Anadolu Efes","Croatia","203967"
"OlivierSarr","OKC","30","C","7-0","240 lbs","Kentucky","France","1630846"
"JasonSasser","MEM","23","F","6-7","225 lbs","Texas Tech","USA","987"
"JerylSasser","ORL","5","G","6-6","200 lbs","Southern Methodist","USA","2219"
"TomasSatoransky","WAS","31","G","6-7","210 lbs","FC Barcelona","Czech Republic","203107"
"KennySatterfield","DEN","11","G","6-2","170 lbs","Cincinnati","USA","2261"
"FrankSaul","LAL","10","G","6-2","185 lbs","Seton Hall","USA","78063"
"WoodySauldsberry","GSW","18","F","6-7","220 lbs","Texas Southern","USA","78064"
"FredSaunders","BOS","12","F","6-7","210 lbs","Syracuse","USA","78065"
"DonSavage","PHI","15","F","6-3","205 lbs","Le Moyne","USA","78066"
"PredragSavovic","DEN","4","G","6-6","225 lbs","Hawaii","Serbia","2453"
"AlanSawyer","WAS","","F","6-5","195 lbs","UCLA","USA","78067"
"BrianScalabrine","BOS","24","F","6-9","235 lbs","Southern California","USA","2243"
"AlexScales","SAS","","G","6-4","195 lbs","Oregon","USA","2637"
"DewayneScales","NYK","32","F","6-8","208 lbs","Louisiana State","USA","78068"
"FrankSchade","SAC","15","G","6-1","170 lbs","Wisconsin-Eau Claire","USA","78069"
"BenSchadler","CHS","","F","6-0","185 lbs","Northwestern","USA","78070"
"HermSchaefer","LAL","10","G","6-0","175 lbs","Indiana","USA","78071"
"BobSchafer","ATL","27","G","6-3","195 lbs","Villanova","USA","78072"
"JordanSchakel","WAS","20","G","6-6","200 lbs","San Diego State","USA","1630648"
"BenScharnus","CLR","","F","6-2","173 lbs","Seton Hall","USA","78073"
"MarvSchatzman","BAL","","F","6-5","200 lbs","St. Louis","USA","78074"
"FredSchaus","DET","17","F","6-5","205 lbs","West Virginia","USA","78075"
"DanSchayes","DEN","24","C","6-11","260 lbs","Syracuse","USA","7"
"DolphSchayes","PHI","4","F","6-8","195 lbs","New York University","USA","78076"
"OssieSchectman","NYK","6","G","6-0","175 lbs","Long Island-Brooklyn","USA","78078"
"SteveScheffler","OKC","55","C","6-9","250 lbs","Purdue","USA","88"
"TomScheffler","POR","50","C","6-11","240 lbs","Purdue","USA","78080"
"DaveSchellhase","CHI","8","G","6-3","205 lbs","Purdue","USA","78081"
"LukeSchenscher","CHI","24","C","7-1","265 lbs","Georgia Tech","USA","101195"
"HerbScherer","ATL","19-22","C","6-9","212 lbs","Long Island-Brooklyn","USA","78082"
"DwayneSchintzius","BKN","55","C","7-2","285 lbs","Florida","USA","368"
"DaleSchlueter","POR","54","C","6-10","225 lbs","Colorado State","USA","78084"
"OttoSchnellbacher","PRO","","","","","Kansas","USA","78085"
"DickSchnittker","LAL","15","F","6-5","200 lbs","Ohio State","USA","78086"
"RussSchoene","OKC","40","F","6-10","210 lbs","Tennessee-Chattanooga","USA","78087"
"AdmiralSchofield","ORL","25","F","6-5","241 lbs","Tennessee","United Kingdom","1629678"
"DaveScholz","PHI","25","F","6-8","220 lbs","Illinois","USA","78088"
"MiltSchoon","SHE","","C","6-7","230 lbs","Valparaiso","USA","78089"
"DetlefSchrempf","OKC","12","F","6-10","235 lbs","Washington","USA","96"
"DennisSchroder","HOU","17","G","6-1","172 lbs","Braunschweig","Germany","203471"
"HowieSchultz","LAL","15","F","6-6","200 lbs","Hamline","USA","78091"
"DickSchulz","WAS","","F","6-2","192 lbs","Wisconsin","USA","78092"
"JohnSchweitz","OKC","35","G","6-6","210 lbs","Richmond","USA","78093"
"LuisScola","HOU","4","F","6-9","240 lbs","Tau Ceramica","Argentina","2449"
"FreddieScolari","WAS","24","G","5-11","180 lbs","San Francisco","USA","78094"
"AlvinScott","PHX","14","F","6-7","185 lbs","Oral Roberts","USA","78095"
"BrentScott","IND","55","F-C","6-10","250 lbs","Rice","USA","1064"
"ByronScott","LAL","","G","6-4","205 lbs","Arizona State","USA","2"
"CharlieScott","PHX","11","G","6-5","175 lbs","North Carolina","USA","78097"
"DennisScott","ORL","9","F","6-8","229 lbs","Georgia Tech","USA","192"
"JamesScott","MIA","32","F","6-6","180 lbs","St. John's","USA","1109"
"MikeScott","ATL","1","F","6-7","237 lbs","Virginia","USA","203118"
"RayScott","DET","31","F","6-9","215 lbs","Portland","USA","78100"
"ShawnelleScott","CLE","36","C","6-11","250 lbs","St. John's","USA","1035"
"TrevonScott","CLE","","F","6-8","225 lbs","Cincinnati","USA","1630286"
"JayScrubb","LAC","0","G","6-5","220 lbs","-","USA","1630206"
"CareyScurry","UTA","20","F","6-7","188 lbs","Long Island-Brooklyn","USA","78102"
"BruceSeals","OKC","45","F","6-8","210 lbs","Xavier of Louisiana","USA","78103"
"SheaSeals","LAL","24","G","6-5","210 lbs","Tulsa","USA","1578"
"MalikSealy","LAC","2","G-F","6-8","200 lbs","St. John's","USA","907"
"EdSearcy","BOS","32","F","6-6","210 lbs","St. John's","USA","78105"
"KenSears","NYK","17","F","6-9","198 lbs","Santa Clara","USA","78106"
"WayneSee","WAT","","G","6-3","190 lbs","Northern Arizona","USA","78107"
"ThaboSefolosha","OKC","18","F-G","6-6","215 lbs","","Switzerland","200757"
"RonySeikaly","MIA","2","C","6-11","253 lbs","Syracuse","USA","938"
"GlenSelbo","SHE","","F","6-3","196 lbs","Wisconsin","USA","78109"
"JoshSelby","MEM","2","G","6-2","183 lbs","Kansas","USA","202729"
"WayneSelden","NYK","14","G-F","6-5","230 lbs","Kansas","USA","1627782"
"BradSellers","CHI","4","F","7-0","210 lbs","Ohio State","USA","78110"
"PhilSellers","DET","11","F","6-4","195 lbs","Rutgers","USA","78111"
"RollieSeltz","AND","","G","5-10","165 lbs","Hamline","USA","78112"
"FrankSelvy","LAL","11","G","6-2","180 lbs","Furman","USA","78113"
"JimSeminoff","BOS","15","G","6-2","190 lbs","Southern California","USA","78114"
"MouhamedSene","OKC","18","C","6-11","230 lbs","Verviers-Pepinster","Senegal","200754"
"GeorgeSenesky","GSW","8","G","6-2","179 lbs","St. Joseph's (PA)","USA","78115"
"AlperenSengun","HOU","28","C","6-10","243 lbs","Besiktas","Turkey","1630578"
"KevinSeraphin","WAS","1","F-C","6-10","278 lbs","Cholet","France","202338"
"AnsuSesay","OKC","5","F","6-9","225 lbs","Mississippi","USA","1738"
"RamonSessions","CHA","9","G","6-3","190 lbs","Nevada-Reno","USA","201196"
"TomSewell","WAS","32","G","6-5","185 lbs","Lamar","USA","78116"
"CollinSexton","UTA","2","G","6-1","190 lbs","Alabama","USA","1629012"
"PaulSeymour","PHI","5","G","6-1","180 lbs","Toledo","USA","78117"
"NickShaback","CLR","","G","5-11","180 lbs","James Monroe HS (NY)","USA","78118"
"CharlesShackleford","BKN","33","C","6-11","245 lbs","North Carolina State","USA","1593"
"CarlShaeffer","INO","","G","6-3","185 lbs","Alabama","USA","78120"
"LeeShaffer","PHI","22","F","6-7","220 lbs","North Carolina","USA","78121"
"MustafaShakur","WAS","22","G","6-4","195 lbs","Arizona","USA","201203"
"LandryShamet","PHX","14","G","6-4","190 lbs","Wichita State","USA","1629013"
"GodShammgod","WAS","2","G","6-0","169 lbs","Providence","USA","1539"
"EarlShannon","PRO","","G","5-11","170 lbs","Rhode Island","USA","78123"
"HowieShannon","BOS","8","G","6-2","175 lbs","Kansas State","USA","78124"
"CharlieShare","ATL","13","C","6-11","235 lbs","Bowling Green","USA","78125"
"BillSharman","BOS","21","G","6-1","175 lbs","Southern California","USA","78126"
"Day'RonSharpe","BKN","20","C","6-9","265 lbs","North Carolina","USA","1630549"
"ShaedonSharpe","POR","","G","6-6","200 lbs","Kentucky","Canada","1631101"
"WalterSharpe","DET","42","F","6-9","245 lbs","Alabama-Birmingham","USA","201594"
"JohnShasky","MIA","55","C","6-11","235 lbs","Minnesota","USA","1117"
"RonShavlik","NYK","16","F","6-8","200 lbs","North Carolina State","USA","78128"
"BrianShaw","LAL","20","G","6-6","200 lbs","California-Santa Barbara","USA","216"
"CaseyShaw","PHI","53","C","6-11","255 lbs","Toledo","USA","1745"
"MarialShayok","PHI","35","G-F","6-5","198 lbs","Iowa State","Canada","1629621"
"BobShea","PRO","","F","6-2","194 lbs","Rhode Island","USA","78130"
"FredSheffield","GSW","4","F","6-2","165 lbs","Utah","USA","78131"
"CraigShelton","ATL","11","F","6-7","210 lbs","Georgetown","USA","78132"
"LonnieShelton","OKC","8","F","6-8","240 lbs","Oregon State","USA","78133"
"TornikeShengelia","BKN","20","F","6-9","240 lbs","Spirou Charleroi","Georgia","203129"
"JeffSheppard","ATL","15","G","6-3","190 lbs","Kentucky","USA","1852"
"SteveSheppard","CHI","27","F","6-6","215 lbs","Maryland","USA","78135"
"EdmundSherod","NYK","13","G","6-2","170 lbs","Virginia Commonwealth","USA","78136"
"CharlieShipp","WAT","","G","6-1","200 lbs","Catholic","USA","78653"
"PaulShirley","PHX","17","F","6-10","230 lbs","Iowa State","USA","2321"
"GeneShort","NYK","20","F","6-6","200 lbs","Jackson State","USA","78138"
"PurvisShort","GSW","45","F","6-7","210 lbs","Jackson State","USA","78139"
"DexterShouse","PHI","14","F","6-2","200 lbs","South Alabama","USA","78140"
"DickShrider","NYK","7","G","6-2","190 lbs","Ohio","USA","78141"
"GeneShue","DET","12","G","6-2","170 lbs","Maryland","USA","78142"
"JohnShumate","LAC","34","F","6-9","235 lbs","Notre Dame","USA","78143"
"ImanShumpert","NYK","1","G","6-5","215 lbs","Georgia Tech","USA","202697"
"AlexeyShved","MIN","1","G","6-6","187 lbs","CSKA Moscow","Russia","203144"
"PascalSiakam","TOR","43","F","6-8","230 lbs","New Mexico State","Cameroon","1627783"
"JordanSibert","ATL","8","G","6-4","187 lbs","Dayton","USA","1626296"
"SamSibert","SAC","25","F","6-7","215 lbs","Kentucky State","USA","78144"
"MarkSibley","POR","11","G","6-2","175 lbs","Northwestern","USA","78145"
"JerrySichting","IND","12","G","6-1","168 lbs","Purdue","USA","78146"
"LarrySiegfried","BOS","20","G","6-3","190 lbs","Ohio State","USA","78147"
"RalphSiewert","HUS","","","","","Dakota Wesleyan","USA","78148"
"JackSikma","OKC","43","C","6-11","230 lbs","Illinois Wesleyan","USA","78149"
"JamesSilas","SAS","13","G","6-1","180 lbs","Stephen F. Austin","USA","78150"
"PaulSilas","ATL","36","F","6-7","220 lbs","Creighton","USA","78151"
"XavierSilas","PHI","9","G","6-5","205 lbs","Northern Illinois","USA","202918"
"GarretSiler","PHX","20","C","6-11","305 lbs","Augusta State","USA","202081"
"MikeSilliman","LAC","4-27","F","6-6","225 lbs","Army","USA","78152"
"ChrisSilva","ATL","30","F","6-8","234 lbs","South Carolina","Gabon","1629735"
"WayneSimien","MIA","25","F","6-9","250 lbs","Kansas","USA","101134"
"BenSimmons","BKN","10","G-F","6-11","240 lbs","Louisiana State","Australia","1627732"
"BobbySimmons","LAC","21","F","6-6","235 lbs","DePaul","USA","2250"
"CedricSimmons","NOP","15","F","6-9","235 lbs","North Carolina State","USA","200759"
"ConnieSimmons","NYK","4","C","6-8","222 lbs","Flushing HS (NY)","USA","78153"
"JohnnySimmons","BOS","6","G","6-1","184 lbs","New York University","USA","78154"
"JonathonSimmons","SAS","14","F","6-6","195 lbs","Houston","USA","203613"
"KobiSimmons","MEM","23","G","6-5","180 lbs","Arizona","USA","1628424"
"LionelSimmons","SAC","22","F","6-7","210 lbs","La Salle","USA","1489"
"MilesSimon","ORL","32","G","6-3","202 lbs","Arizona","USA","1750"
"MarkoSimonovic","CHI","19","C","6-11","220 lbs","Mega Basket","Montenegro","1630250"
"AnferneeSimons","POR","1","G","6-3","181 lbs","Edgewater HS (FL)","USA","1629014"
"DickeySimpkins","CHI","8","C-F","6-9","255 lbs","Providence","USA","54"
"DiamonSimpson","HOU","20","F","6-7","230 lbs","St. Mary's (CA)","USA","202067"
"RalphSimpson","DET","44","G","6-5","200 lbs","Michigan State","USA","78157"
"ZavierSimpson","OKC","9","G","6-0","190 lbs","Michigan","USA","1630285"
"AlvinSims","PHX","19","G","6-4","235 lbs","Louisville","USA","1591"
"BobSims","ATL","12","F","6-5","220 lbs","Pepperdine","USA","78160"
"CourtneySims","IND","44","C","6-11","245 lbs","Michigan","USA","201235"
"DougSims","SAC","11","F","6-7","195 lbs","Kent State","USA","78159"
"HenrySims","PHI","14","C-F","6-10","248 lbs","Georgetown","USA","203156"
"JerichoSims","NYK","45","C","6-9","250 lbs","Texas-Austin","USA","1630579"
"ScottSims","SAS","20","G","6-1","170 lbs","Missouri","USA","78161"
"KyleSingler","DET","15","F","6-8","228 lbs","Duke","USA","202713"
"SeanSingletary","CHA","44","G","6-0","185 lbs","Virginia","USA","201606"
"ChrisSingleton","WAS","31","F","6-9","228 lbs","Florida State","USA","202698"
"JamesSingleton","LAC","3","F","6-8","230 lbs","Murray State","USA","101189"
"MckinleySingleton","NYK","26","F","6-5","175 lbs","Alabama-Birmingham","USA","78162"
"ZekeSinicola","DET","5","G","5-10","165 lbs","Niagara","USA","78163"
"DeividasSirvydis","IND","91","F-G","6-8","190 lbs","Lietuvos rytas Vilnius","Lithuania","1629686"
"CharlieSitton","DAL","52","F","6-8","210 lbs","Oregon State","USA","78164"
"PeytonSiva","DET","34","G","6-0","185 lbs","Louisville","USA","203491"
"ScottSkiles","ORL","5","G","6-1","180 lbs","Michigan State","USA","101"
"AlSkinner","BKN","30","G","6-3","190 lbs","Massachusetts","USA","78167"
"BrianSkinner","LAC","8","F-C","6-9","255 lbs","Baylor","USA","1730"
"TalvinSkinner","OKC","22","F","6-5","195 lbs","Maryland-Eastern Shore","USA","78168"
"WhiteySkoog","LAL","20","G","5-11","180 lbs","Minnesota","USA","78169"
"JeffSlade","WAS","34","F","6-6","220 lbs","Kenyon","USA","78170"
"ReggieSlater","TOR","35","F","6-7","255 lbs","Wyoming","USA","1073"
"JimSlaughter","BAL","","C","6-11","210 lbs","South Carolina","USA","78171"
"JoseSlaughter","IND","21","G","6-5","205 lbs","Portland","USA","78172"
"TamarSlay","BKN","8","G","6-8","215 lbs","Marshall","USA","2447"
"DonaldSloan","IND","15","G","6-3","205 lbs","Texas A&M","USA","202388"
"JerrySloan","CHI","4","G","6-5","195 lbs","Evansville","USA","78173"
"UrosSlokar","TOR","10","F","6-10","238 lbs","Benetton Treviso","Slovenia","101166"
"TomSluby","DAL","7","G","6-4","200 lbs","Notre Dame","USA","78174"
"AlenSmailagic","GSW","6","F","6-10","215 lbs","Beko","Serbia","1629346"
"JavonteSmart","MIA","15","G","6-4","205 lbs","Louisiana State","USA","1630606"
"KeithSmart","SAS","3","G","6-1","175 lbs","Indiana","USA","78175"
"MarcusSmart","BOS","36","G","6-4","220 lbs","Oklahoma State","USA","203935"
"BelusSmawley","BOM","","G","6-1","195 lbs","Appalachian State","USA","78176"
"JackSmiley","DET","37","G","6-3","190 lbs","Illinois","USA","78177"
"AdrianSmith","SAC","10","G","6-1","180 lbs","Kentucky","USA","78178"
"BillSmith","POR","43","C","7-0","220 lbs","Syracuse","USA","78207"
"BillSmith","NYK","","F","6-5","190 lbs","St. Peter's","USA","78209"
"BingoSmith","CLE","7","F","6-5","195 lbs","Tulsa","USA","78202"
"BobbySmith","LAL","21","G","6-4","190 lbs","West Virginia","USA","78203"
"CharlesSmith","LAC","54","F","6-10","244 lbs","Pittsburgh","USA","293"
"CharlesSmith","SAS","7","G","6-4","200 lbs","New Mexico","USA","1520"
"CharlesSmith","BOS","","F","6-1","160 lbs","Georgetown","USA","78179"
"ChrisSmith","MIN","3","G","6-3","190 lbs","Connecticut","USA","1814"
"ChrisSmith","NYK","0","G","6-2","200 lbs","Louisville","USA","203147"
"ClintonSmith","GSW","22","F","6-6","210 lbs","Cleveland State","USA","78181"
"CraigSmith","MIN","83","F","6-7","265 lbs","Boston College","USA","200783"
"DebSmith","BOM","","F","6-3","180 lbs","Utah","USA","78182"
"DerekSmith","LAC","43","G","6-6","205 lbs","Louisville","USA","78183"
"DonSmith","PHI","10","G","6-0","160 lbs","Dayton","USA","78184"
"DonaldSmith","LAL","","F","6-2","190 lbs","Minnesota","USA","78185"
"DontaSmith","ATL","15","G","6-7","215 lbs","Southeastern Illinois","USA","2764"
"DougSmith","DAL","34","F","6-10","220 lbs","Missouri","USA","475"
"EdSmith","NYK","14","F","6-6","180 lbs","Harvard","USA","78187"
"ElmoreSmith","LAL","3","C","7-1","250 lbs","Kentucky State","USA","78188"
"GarfieldSmith","BOS","33","C","6-9","235 lbs","Eastern Kentucky","USA","78189"
"GregSmith","MIL","4","F","6-5","195 lbs","Western Kentucky","USA","78190"
"GregSmith","HOU","4","C","6-10","250 lbs","Fresno State","USA","202962"
"IshSmith","DEN","14","G","6-0","175 lbs","Wake Forest","USA","202397"
"JRSmith","DEN","21","G","6-6","220 lbs","No College","USA","2747"
"JabariSmith","SAC","55","C","6-11","250 lbs","Louisiana State","USA","2074"
"JalenSmith","IND","25","F-C","6-10","215 lbs","Maryland","USA","1630188"
"JasonSmith","NOP","14","F-C","7-0","240 lbs","Colorado State","USA","201160"
"JerrySmith","BKN","28","G","6-2","190 lbs","Louisville","USA","202536"
"JimSmith","LAC","32","F","6-9","225 lbs","Ohio State","USA","78191"
"JoeSmith","MIN","1","F-C","6-10","225 lbs","Maryland","USA","693"
"JoshSmith","ATL","5","F","6-9","225 lbs","Oak Hill Academy (VA)","USA","2746"
"KeithSmith","MIL","11","G","6-3","180 lbs","Loyola-Marymount","USA","78192"
"KennySmith","HOU","30","G","6-3","170 lbs","North Carolina","USA","181"
"LabradfordSmith","WAS","34","F","6-3","200 lbs","Louisville","USA","78194"
"LarrySmith","GSW","2","F","6-8","215 lbs","Alcorn State","USA","78195"
"LeonSmith","ATL","35","F","6-10","235 lbs","Martin Luther King HS (IL)","USA","1910"
"MichaelSmith","SAC","34","F","6-8","240 lbs","Providence","USA","63"
"MichaelSmith","BOS","","G","6-10","225 lbs","Brigham Young","USA","78197"
"MikeSmith","WAS","40","F","6-8","195 lbs","Louisiana-Monroe","USA","2065"
"NolanSmith","POR","4","G","6-2","185 lbs","Duke","USA","202701"
"OtisSmith","ORL","32","F","6-5","210 lbs","Jacksonville","USA","78198"
"PhilSmith","GSW","20","G","6-4","185 lbs","San Francisco","USA","78199"
"RandySmith","LAC","7","G","6-3","180 lbs","Buffalo State","USA","78200"
"ReggieSmith","POR","54","F","6-10","240 lbs","TCU","USA","78201"
"RobertSmith","DEN","10","G","5-11","165 lbs","UNLV","USA","78204"
"RussSmith","MEM","2","G","6-0","165 lbs","Louisville","USA","203893"
"SammySmith","CHI","28","F","6-4","200 lbs","UNLV","USA","78205"
"StevenSmith","ATL","8","G-F","6-8","221 lbs","Michigan State","USA","120"
"StevenSmith","PHI","","F","6-9","250 lbs","La Salle","USA","200848"
"StevinSmith","DAL","1","G","6-2","208 lbs","Arizona State","USA","1478"
"TheronSmith","CHA","0","F","6-8","225 lbs","Ball State","USA","2604"
"TonySmith","LAL","34","G","6-4","205 lbs","Marquette","USA","380"
"WillieSmith","CLE","11","G","6-2","170 lbs","Missouri","USA","78208"
"ZhaireSmith","PHI","5","G","6-3","205 lbs","Texas Tech","USA","1629015"
"DennisSmith Jr.","POR","0","G","6-2","205 lbs","North Carolina State","USA","1628372"
"JabariSmith Jr.","HOU","","F","6-10","220 lbs","Auburn","USA","1631095"
"RikSmits","IND","45","C","7-4","265 lbs","Marist","USA","22"
"MikeSmrek","LAL","55","C","7-0","250 lbs","Canisius","USA","1091"
"JoeSmyth","BAL","","F","6-3","215 lbs","Niagara","USA","78212"
"XavierSneed","UTA","19","F","6-5","215 lbs","Kansas State","USA","1630270"
"TonySnell","NOP","21","G","6-6","213 lbs","New Mexico","USA","203503"
"EricSnow","PHI","20","G","6-3","205 lbs","Michigan State","USA","727"
"DickSnyder","OKC","11","G","6-5","207 lbs","Davidson","USA","78213"
"KirkSnyder","NOP","30","F-G","6-6","225 lbs","Nevada-Reno","USA","2745"
"GeorgeSobek","SHE","","G","6-0","180 lbs","Notre Dame","USA","78214"
"RickySobers","CHI","14","G","6-3","198 lbs","UNLV","USA","78215"
"RonSobie","NYK","17","G","6-3","185 lbs","DePaul","USA","78216"
"JeremySochan","SAS","","F","6-9","230 lbs","Baylor","Poland","1631110"
"MikeSojourner","ATL","40","C","6-9","225 lbs","Utah","USA","78217"
"WillSolomon","MEM","1","G","6-1","185 lbs","Clemson","USA","2226"
"WillieSomerset","WAS","24","G","5-8","170 lbs","Duquesne","USA","78219"
"DariusSongaila","WAS","25","F","6-9","248 lbs","Wake Forest","Lithuania","2443"
"DaveSorenson","CLE","35","F","6-8","225 lbs","Ohio State","USA","78220"
"JamesSoutherland","NOP","31","F","6-8","215 lbs","Syracuse","USA","203480"
"GinoSovran","HUS","","F","6-2","175 lbs","Detroit","USA","78221"
"PapeSow","TOR","9","F","6-10","250 lbs","California State-Fullerton","Senegal","2776"
"MatteoSpagnolo","MIN","","G","6-4","190 lbs","","Italy","1631164"
"RaySpalding","PHX","26","F","6-9","225 lbs","Louisville","USA","1629034"
"JimSpanarkel","DAL","34","G","6-5","190 lbs","Duke","USA","78222"
"VassilisSpanoulis","HOU","10","G","6-4","195 lbs","Panathinaikos","Greece","2779"
"GuySparrow","NYK","16","F","6-6","218 lbs","Detroit","USA","78223"
"RorySparrow","NYK","2","G","6-2","175 lbs","Villanova","USA","600009"
"OdieSpears","SAC","15","F","6-5","205 lbs","Western Kentucky","USA","78225"
"ArtSpector","BOS","12","F","6-4","200 lbs","Villanova","USA","78226"
"MarreeseSpeights","GSW","5","F-C","6-10","255 lbs","Florida","USA","201578"
"OmariSpellman","GSW","14","F","6-8","245 lbs","Villanova","USA","1629016"
"AndreSpencer","SAC","20","F","6-6","210 lbs","Northern Arizona","USA","78227"
"ElmoreSpencer","LAC","27","C","7-0","270 lbs","UNLV","USA","771"
"FeltonSpencer","MIN","50","C","7-0","290 lbs","Louisville","USA","280"
"PatSpencer","GSW","","G","6-3","205 lbs","Northwestern","USA","1630311"
"LouSpicer","PRO","","F","6-2","195 lbs","Syracuse","USA","78230"
"CraigSpitzer","CHI","17","C","7-0","225 lbs","Tulane","USA","78231"
"TiagoSplitter","SAS","47","C-F","6-11","245 lbs","Baskonia","Brazil","201168"
"ArtSpoelstra","SAC","27","C","6-9","220 lbs","Western Kentucky","USA","78232"
"LatrellSprewell","GSW","8","G","6-5","195 lbs","Alabama","USA","84"
"LarrySpriggs","LAL","35","F","6-7","230 lbs","Howard","USA","78233"
"JadenSpringer","PHI","11","G","6-4","202 lbs","Tennessee","USA","1630531"
"JimSpringer","JET","","C","6-9","235 lbs","Canterbury","USA","78234"
"JimSpruill","JET","","F","6-2","225 lbs","Rice","USA","78235"
"RyanStack","CLE","10","F","6-11","215 lbs","South Carolina","USA","1756"
"JerryStackhouse","DET","42","F","6-6","218 lbs","North Carolina","USA","711"
"KevinStacom","BOS","20","G","6-3","185 lbs","Providence","USA","78237"
"DaveStallworth","NYK","9","F","6-7","200 lbs","Wichita State","USA","78238"
"IsaacStallworth","UTA","15","F","6-5","190 lbs","Kansas","USA","78239"
"EdStanczak","AND","19-21","F","6-1","185 lbs","Central HS (IN)","USA","78240"
"CassiusStanley","DET","2","G","6-5","190 lbs","Duke","USA","1630199"
"TerenceStansbury","IND","44","G","6-5","170 lbs","Temple","USA","78241"
"JohnStarks","NYK","9","G","6-5","190 lbs","Oklahoma State","USA","317"
"KeithStarr","CHI","30","G","6-6","190 lbs","Pittsburgh","USA","78243"
"NikStauskas","BOS","13","G","6-6","207 lbs","Michigan","Canada","203917"
"LarryStaverman","SAC","13","F","6-7","205 lbs","Thomas More","USA","78244"
"LarrySteele","POR","15","G","6-5","180 lbs","Kentucky","USA","78245"
"MattSteigenga","CHI","6","F","6-7","225 lbs","Michigan State","USA","1099"
"VladimirStepania","MIA","11","C","7-1","255 lbs","Union Olimpija","Georgia","1735"
"DJStephens","MIL","20","G-F","6-5","188 lbs","Memphis","USA","203474"
"EveretteStephens","IND","7-11","G","6-2","175 lbs","Purdue","USA","78247"
"JackStephens","ATL","15","G","6-3","185 lbs","Notre Dame","USA","78249"
"JoeStephens","MEM","23","F","6-7","210 lbs","Arkansas-Little Rock","USA","1086"
"LanceStephenson","IND","6","F","6-5","210 lbs","Cincinnati","USA","202362"
"AlexStepheson","LAC","35","F","6-10","270 lbs","Southern California","USA","1627293"
"BrookSteppe","SAC","7","G","6-5","195 lbs","Georgia Tech","USA","78250"
"BarryStevens","GSW","34","G","6-5","195 lbs","Iowa State","USA","78251"
"LamarStevens","CLE","8","F","6-6","230 lbs","Penn State","USA","1630205"
"WayneStevens","SAC","20","F","6-3","185 lbs","Cincinnati","USA","78252"
"DeShawnStevenson","WAS","92","F-G","6-5","218 lbs","Washington Union HS (CA)","USA","2052"
"DJStewart","SAS","18","G","6-5","205 lbs","Mississippi State","USA","1630597"
"DennisStewart","WAS","40","F","6-6","220 lbs","Michigan","USA","78253"
"IsaiahStewart","DET","28","F-C","6-8","250 lbs","Washington","USA","1630191"
"KebuStewart","PHI","41","F","6-8","239 lbs","California State-Bakersfield","USA","1529"
"LarryStewart","WAS","23","F","6-8","230 lbs","Coppin State","USA","1125"
"MichaelStewart","TOR","44","C","6-10","230 lbs","California","USA","1565"
"NormStewart","ATL","22","F","6-5","205 lbs","Missouri","USA","78256"
"GregStiemsma","MIN","34","C","6-11","260 lbs","Wisconsin","USA","201880"
"SteveStipanovich","IND","40","C","6-11","245 lbs","Missouri","USA","78257"
"BryantStith","DEN","23","G","6-5","210 lbs","Virginia","USA","179"
"SamStith","NYK","17","G","6-2","185 lbs","St. Bonaventure","USA","78259"
"TomStith","NYK","8","F","6-5","210 lbs","St. Bonaventure","USA","78260"
"AlexStivrins","PHX","11","F","6-8","220 lbs","Colorado","USA","78261"
"DavidStockton","SAC","5","G","5-11","165 lbs","Gonzaga","USA","204065"
"JohnStockton","UTA","12","G","6-1","175 lbs","Gonzaga","USA","304"
"PejaStojakovic","SAC","16","F","6-10","229 lbs","PAOK","Serbia","978"
"EdStokes","TOR","40","C","7-0","264 lbs","Arizona","USA","1055"
"GregStokes","PHI","41","F","6-10","220 lbs","Iowa","USA","78264"
"JarnellStokes","MEM","1","F-C","6-9","263 lbs","Tennessee","USA","203950"
"MauriceStokes","SAC","12","F","6-7","232 lbs","St. Francis (PA)","USA","600016"
"ArtStolkey","DEF","","G","6-1","180 lbs","Detroit","USA","78266"
"DiamondStone","LAC","0","C","6-11","255 lbs","Maryland","USA","1627754"
"JulyanStone","DEN","32","G","6-6","200 lbs","Texas-El Paso","USA","202933"
"AwveeStorey","MIL","20","F-G","6-6","225 lbs","Arizona State","USA","2852"
"DamonStoudamire","POR","3","G","5-10","171 lbs","Arizona","USA","757"
"SalimStoudamire","ATL","20","G","6-1","175 lbs","Arizona","USA","101136"
